,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),agv player rating,avg player value (EU)
0,2015,Málaga CF,48,26,15,25.0,179.12,72.47,70.5,0
1,2015,Atlético Madrid,88,33,7,24.69,181.28,75.1,74.45,0
2,2015,RCD Espanyol,43,22,28,24.3,180.06,73.55,67.15,0
3,2015,RCD La Coruña,42,25,34,25.12,179.76,73.36,68.64,0
4,2015,Rayo Vallecano,38,29,29,24.84,178.91,72.66,68.66,0
5,2015,Athletic Club Bilbao,62,35,17,24.39,181.06,75.27,70.88,0
6,2015,Real Betis,45,17,23,24.89,180.5,74.93,68.43,0
7,2015,Levante UD,32,23,26,26.07,180.93,75.27,69.93,0
8,2015,Sporting Gijón,39,28,28,23.25,181.57,74.79,64.14,0
9,2015,Granada CF,39,26,31,24.69,181.25,77.53,68.34,0
10,2015,Villarreal CF,64,26,12,23.85,179.36,74.06,70.88,0
11,2015,FC Barcelona,91,67,14,25.54,178.12,71.92,79.75,0
12,2015,RC Celta Vigo,60,29,25,23.43,179.43,74.17,68.1,0
13,2015,Real Madrid,90,70,16,23.79,181.73,75.82,75.21,0
14,2015,Real Sociedad,48,22,20,24.48,181.68,75.26,70.29,0
15,2015,SD Eibar,43,26,22,27.43,181.7,77.17,70.35,0
16,2015,Getafe CF,36,23,20,25.73,181.42,75.0,68.65,0
17,2015,UD Las Palmas,44,25,17,26.25,180.79,74.5,65.32,0
18,2015,Sevilla FC,52,38,21,24.09,179.7,74.33,71.58,0
19,2015,Valencia CF,44,25,23,22.71,179.03,73.77,72.65,0
20,2016,RCD La Coruña,36,27,23,26.79,180.29,74.57,72.21,3210714
21,2016,Málaga CF,46,32,25,25.39,179.9,73.26,71.48,3612580
22,2016,FC Barcelona,90,64,17,24.97,179.1,74.1,78.59,20170689
23,2016,Granada CF,20,17,32,24.07,181.53,76.57,70.73,2601333
24,2016,Sevilla FC,72,39,16,25.47,181.16,76.06,74.66,8131875
25,2016,Atlético Madrid,78,40,14,24.88,181.48,74.16,76.92,12458000
26,2016,Real Sociedad,64,30,24,24.69,182.22,75.56,72.38,5696093
27,2016,Sporting Gijón,31,26,38,23.81,180.52,73.74,70.37,2653518
28,2016,RC Celta Vigo,45,30,32,23.06,179.55,74.03,70.77,4229354
29,2016,Valencia CF,46,32,32,23.19,179.32,74.55,74.39,9423064
30,2016,Real Betis,39,22,24,25.72,181.59,75.78,71.44,2664687
